text,anger,fear,joy,love,sadness,surprise
"I was completely taken aback by the unexpected message and it left me speechless. and i'm genuinely frightened about the idea of walking home alone late at night after what happened. however, hearing their good news made my whole week brighter and i felt genuinely happy.",0,1,1,0,0,1
"There is a warmth inside me every time I think about the kindness they show. while even in the crowd i felt empty, like a sadness that sat beside me all day. Also, the small moments of warmth and laughter today filled me with a quiet joy. 😊❤️😢",0,0,1,1,1,0
I feel furious thinking about the way I was spoken to; it was humiliating and cruel. while i feel completely connected and tender toward them in a way that surprises me. 😤❤️,1,0,0,1,0,0
I find myself avoiding places because I'm scared something bad will happen again. and i find myself replaying that moment and it brings tears i can't hold back.,0,1,0,0,1,0
"A surprising twist in the evening turned everything upside down and I was caught off guard. and i'm genuinely frightened about the idea of walking home alone late at night after what happened., but the small moments of warmth and laughter today filled me with a quiet joy. 😨😊😳",0,1,1,0,0,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans., but i feel an uneasy panic whenever i think about facing that situation again., but i can't stop smiling thinking about the wonderful time we had together last night.",0,1,1,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. while i feel an uneasy panic whenever i think about facing that situation again. Also, i feel furious thinking about the way i was spoken to; it was humiliating and cruel.",1,1,0,0,0,1
"Loving them makes even the hardest days feel bearable because of how they comfort me. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. however, hearing their good news made my whole week brighter and i felt genuinely happy.",0,0,1,1,1,0
"The uncertainty about the future keeps me awake and makes my heart race with fear. however, i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. 😨😢",0,1,0,0,1,0
"There is a warmth inside me every time I think about the kindness they show., but i find myself replaying that moment and it brings tears i can't hold back. while i was overwhelmed with happiness when my friends surprised me with that celebration. and it hurts me deeply when someone i trusted betrays me without a second thought.",1,0,1,1,1,0
"The thought of losing my job terrifies me more than I can explain. however, my blood boils whenever i remember how they treated me that day. 😤😨",1,1,0,0,0,0
"I find myself avoiding places because I'm scared something bad will happen again. while even in the crowd i felt empty, like a sadness that sat beside me all day. and a surprising twist in the evening turned everything upside down and i was caught off guard. 😨😢😳",0,1,0,0,1,1
"My blood boils whenever I remember how they treated me that day. Also, i find myself replaying that moment and it brings tears i can't hold back. 😤😢",1,0,0,0,1,0
The sudden turn of events surprised me in a way I didn't expect and shook my plans. and i feel an uneasy panic whenever i think about facing that situation again. while hearing their good news made my whole week brighter and i felt genuinely happy.,0,1,1,0,0,1
I realized how deeply I care for them when they gently held my hand and didn't let go. and i can't stop smiling thinking about the wonderful time we had together last night. 😊❤️,0,0,1,1,0,0
"I was completely taken aback by the unexpected message and it left me speechless. and i find myself avoiding places because i'm scared something bad will happen again. Also, i feel completely connected and tender toward them in a way that surprises me. 😨❤️😳",0,1,0,1,0,1
"Loving them makes even the hardest days feel bearable because of how they comfort me. while i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. while there was a lightness in my chest all day, like the world finally felt right.",0,0,1,1,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. however, the day felt heavy and every small thing reminded me of how lonely i've been feeling. and there was a lightness in my chest all day, like the world finally felt right. 😊❤️😢",0,0,1,1,1,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. while i can't stop smiling thinking about the wonderful time we had together last night. Also, a quiet sorrow has settled over me since the news and i can't seem to shake it off. 😊😢😳",0,0,1,0,1,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. however, hearing their good news made my whole week brighter and i felt genuinely happy. while i can't stand how they dismissed my feelings after everything i've done for them.",1,0,1,1,0,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. Also, the uncertainty about the future keeps me awake and makes my heart race with fear. 😨❤️",0,1,0,1,0,0
"A surprising twist in the evening turned everything upside down and I was caught off guard., but i find myself avoiding places because i'm scared something bad will happen again.",0,1,0,0,0,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans., but the small moments of warmth and laughter today filled me with a quiet joy. Also, loving them makes even the hardest days feel bearable because of how they comfort me.",0,0,1,1,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks., but i'm genuinely frightened about the idea of walking home alone late at night after what happened. however, there was a lightness in my chest all day, like the world finally felt right.",0,1,1,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and the uncertainty about the future keeps me awake and makes my heart race with fear. while there was a lightness in my chest all day, like the world finally felt right.",0,1,1,0,0,1
"I am seething with anger at the injustice I had to witness today. and i find myself replaying that moment and it brings tears i can't hold back. Also, the thought of losing my job terrifies me more than i can explain.",1,1,0,0,1,0
"The uncertainty about the future keeps me awake and makes my heart race with fear. and i couldn't believe my eyes when i saw it; the surprise stopped me in my tracks. Also, i feel furious thinking about the way i was spoken to; it was humiliating and cruel.",1,1,0,0,0,1
"The uncertainty about the future keeps me awake and makes my heart race with fear. and a quiet sorrow has settled over me since the news and i can't seem to shake it off. Also, i couldn't believe my eyes when i saw it; the surprise stopped me in my tracks.",0,1,0,0,1,1
"I realized how deeply I care for them when they gently held my hand and didn't let go., but i find myself replaying that moment and it brings tears i can't hold back. and there was a lightness in my chest all day, like the world finally felt right.",0,0,1,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks., but i can't stop smiling thinking about the wonderful time we had together last night. 😊😳",0,0,1,0,0,1
"My blood boils whenever I remember how they treated me that day. however, i find myself replaying that moment and it brings tears i can't hold back. 😤😢",1,0,0,0,1,0
"An unexpected confession left me stunned and I had to pause to process it. and the uncertainty about the future keeps me awake and makes my heart race with fear. however, i can't stop smiling thinking about the wonderful time we had together last night.",0,1,1,0,0,1
"It hurts me deeply when someone I trusted betrays me without a second thought., but i felt a deep ache in my chest remembering what we've lost and it wouldn't fade., but there is a warmth inside me every time i think about the kindness they show. 😤❤️😢",1,0,0,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. while the small moments of warmth and laughter today filled me with a quiet joy. Also, i can't stand how they dismissed my feelings after everything i've done for them.",1,0,1,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless. and i find myself avoiding places because i'm scared something bad will happen again. and the small moments of warmth and laughter today filled me with a quiet joy. Also, even in the crowd i felt empty, like a sadness that sat beside me all day.",0,1,1,0,1,1
"A surprising twist in the evening turned everything upside down and I was caught off guard. Also, i realized how deeply i care for them when they gently held my hand and didn't let go.",0,0,0,1,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. however, i can't stand how they dismissed my feelings after everything i've done for them. 😤❤️",1,0,0,1,0,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. Also, the small moments of warmth and laughter today filled me with a quiet joy.",0,0,1,0,0,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. and the thought of losing my job terrifies me more than i can explain., but hearing their good news made my whole week brighter and i felt genuinely happy. 😨😊😳",0,1,1,0,0,1
"I find myself avoiding places because I'm scared something bad will happen again., but i couldn't believe my eyes when i saw it; the surprise stopped me in my tracks. however, my blood boils whenever i remember how they treated me that day. 😤😨😳",1,1,0,0,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard. however, i feel an uneasy panic whenever i think about facing that situation again. 😨😳",0,1,0,0,0,1
I feel furious thinking about the way I was spoken to; it was humiliating and cruel. and the uncertainty about the future keeps me awake and makes my heart race with fear. 😤😨,1,1,0,0,0,0
I was completely taken aback by the unexpected message and it left me speechless. while the uncertainty about the future keeps me awake and makes my heart race with fear. while the small moments of warmth and laughter today filled me with a quiet joy.,0,1,1,0,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. however, a quiet sorrow has settled over me since the news and i can't seem to shake it off. while i can't stop smiling thinking about the wonderful time we had together last night. 😊❤️😢",0,0,1,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and hearing their good news made my whole week brighter and i felt genuinely happy. Also, i am seething with anger at the injustice i had to witness today.",1,0,1,0,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go., but i find myself replaying that moment and it brings tears i can't hold back. however, hearing their good news made my whole week brighter and i felt genuinely happy.",0,0,1,1,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go., but my blood boils whenever i remember how they treated me that day.",1,0,0,1,0,0
I'm genuinely frightened about the idea of walking home alone late at night after what happened. while an unexpected confession left me stunned and i had to pause to process it.,0,1,0,0,0,1
"There is a warmth inside me every time I think about the kindness they show., but even in the crowd i felt empty, like a sadness that sat beside me all day. ❤️😢",0,0,0,1,1,0
"The uncertainty about the future keeps me awake and makes my heart race with fear. however, the sudden turn of events surprised me in a way i didn't expect and shook my plans.",0,1,0,0,0,1
"The thought of losing my job terrifies me more than I can explain. however, i find myself replaying that moment and it brings tears i can't hold back.",0,1,0,0,1,0
I feel an uneasy panic whenever I think about facing that situation again. 😨,0,1,0,0,0,0
It hurts me deeply when someone I trusted betrays me without a second thought. while the thought of losing my job terrifies me more than i can explain. 😤😨,1,1,0,0,0,0
"I can't stand how they dismissed my feelings after everything I've done for them., but even in the crowd i felt empty, like a sadness that sat beside me all day., but there is a warmth inside me every time i think about the kindness they show. 😤❤️😢",1,0,0,1,1,0
Loving them makes even the hardest days feel bearable because of how they comfort me. while a quiet sorrow has settled over me since the news and i can't seem to shake it off.,0,0,0,1,1,0
I realized how deeply I care for them when they gently held my hand and didn't let go. while i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. ❤️😢,0,0,0,1,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go., but hearing their good news made my whole week brighter and i felt genuinely happy. Also, i can't stand how they dismissed my feelings after everything i've done for them.",1,0,1,1,0,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. while i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. however, there was a lightness in my chest all day, like the world finally felt right. 😊❤️😢",0,0,1,1,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. while even in the crowd i felt empty, like a sadness that sat beside me all day., but my blood boils whenever i remember how they treated me that day. 😤❤️😢",1,0,0,1,1,0
Loving them makes even the hardest days feel bearable because of how they comfort me. and my blood boils whenever i remember how they treated me that day.,1,0,0,1,0,0
"I am seething with anger at the injustice I had to witness today. however, the day felt heavy and every small thing reminded me of how lonely i've been feeling.",1,0,0,0,1,0
I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and i'm genuinely frightened about the idea of walking home alone late at night after what happened.,0,1,0,0,0,1
Loving them makes even the hardest days feel bearable because of how they comfort me. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. and i was overwhelmed with happiness when my friends surprised me with that celebration. 😊❤️😢,0,0,1,1,1,0
"There is a warmth inside me every time I think about the kindness they show. however, i find myself replaying that moment and it brings tears i can't hold back. however, there was a lightness in my chest all day, like the world finally felt right.",0,0,1,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. while i find myself avoiding places because i'm scared something bad will happen again., but the small moments of warmth and laughter today filled me with a quiet joy.",0,1,1,0,0,1
My heart fills with affection whenever I remember our quiet conversations late at night. while a quiet sorrow has settled over me since the news and i can't seem to shake it off. ❤️😢,0,0,0,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks., but i feel an uneasy panic whenever i think about facing that situation again. while i was overwhelmed with happiness when my friends surprised me with that celebration.",0,1,1,0,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. however, hearing their good news made my whole week brighter and i felt genuinely happy. 😊❤️😢",0,0,1,1,1,0
"It hurts me deeply when someone I trusted betrays me without a second thought. Also, a quiet sorrow has settled over me since the news and i can't seem to shake it off.",1,0,0,0,1,0
"I feel completely connected and tender toward them in a way that surprises me. however, there was a lightness in my chest all day, like the world finally felt right., but i feel furious thinking about the way i was spoken to; it was humiliating and cruel.",1,0,1,1,0,0
"There is a warmth inside me every time I think about the kindness they show. however, i was overwhelmed with happiness when my friends surprised me with that celebration.",0,0,1,1,0,0
Loving them makes even the hardest days feel bearable because of how they comfort me. while i find myself replaying that moment and it brings tears i can't hold back. and i am seething with anger at the injustice i had to witness today. 😤❤️😢,1,0,0,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. while i feel an uneasy panic whenever i think about facing that situation again. however, i can't stop smiling thinking about the wonderful time we had together last night.",0,1,1,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and the uncertainty about the future keeps me awake and makes my heart race with fear., but i was overwhelmed with happiness when my friends surprised me with that celebration.",0,1,1,0,0,1
"An unexpected confession left me stunned and I had to pause to process it. however, there was a lightness in my chest all day, like the world finally felt right. Also, loving them makes even the hardest days feel bearable because of how they comfort me. 😊❤️😳",0,0,1,1,0,1
"I'm genuinely frightened about the idea of walking home alone late at night after what happened. however, i find myself replaying that moment and it brings tears i can't hold back. and the sudden turn of events surprised me in a way i didn't expect and shook my plans. 😨😢😳",0,1,0,0,1,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. however, i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. Also, my blood boils whenever i remember how they treated me that day.",1,0,0,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks., but i can't stop smiling thinking about the wonderful time we had together last night.",0,0,1,0,0,1
"I feel furious thinking about the way I was spoken to; it was humiliating and cruel. Also, i feel completely connected and tender toward them in a way that surprises me.",1,0,0,1,0,0
"A surprising twist in the evening turned everything upside down and I was caught off guard. however, the small moments of warmth and laughter today filled me with a quiet joy.",0,0,1,0,0,1
"Loving them makes even the hardest days feel bearable because of how they comfort me. while i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. Also, there was a lightness in my chest all day, like the world finally felt right.",0,0,1,1,1,0
"I feel completely connected and tender toward them in a way that surprises me., but i can't stop smiling thinking about the wonderful time we had together last night., but i feel furious thinking about the way i was spoken to; it was humiliating and cruel. 😤😊❤️",1,0,1,1,0,0
"An unexpected confession left me stunned and I had to pause to process it., but the thought of losing my job terrifies me more than i can explain. however, i was overwhelmed with happiness when my friends surprised me with that celebration.",0,1,1,0,0,1
"There is a warmth inside me every time I think about the kindness they show. and even in the crowd i felt empty, like a sadness that sat beside me all day. and hearing their good news made my whole week brighter and i felt genuinely happy. 😊❤️😢",0,0,1,1,1,0
"A surprising twist in the evening turned everything upside down and I was caught off guard. however, i feel an uneasy panic whenever i think about facing that situation again. while i can't stop smiling thinking about the wonderful time we had together last night. 😨😊😳",0,1,1,0,0,1
"The thought of losing my job terrifies me more than I can explain., but the sudden turn of events surprised me in a way i didn't expect and shook my plans. 😨😳",0,1,0,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. Also, i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. 😢😳",0,0,0,0,1,1
"My heart fills with affection whenever I remember our quiet conversations late at night., but there was a lightness in my chest all day, like the world finally felt right.",0,0,1,1,0,0
"An unexpected confession left me stunned and I had to pause to process it., but there was a lightness in my chest all day, like the world finally felt right. Also, i find myself avoiding places because i'm scared something bad will happen again. 😨😊😳",0,1,1,0,0,1
"I feel completely connected and tender toward them in a way that surprises me., but i find myself replaying that moment and it brings tears i can't hold back. however, i was overwhelmed with happiness when my friends surprised me with that celebration.",0,0,1,1,1,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans., but the uncertainty about the future keeps me awake and makes my heart race with fear. however, hearing their good news made my whole week brighter and i felt genuinely happy.",0,1,1,0,0,1
"Loving them makes even the hardest days feel bearable because of how they comfort me. however, hearing their good news made my whole week brighter and i felt genuinely happy. however, my blood boils whenever i remember how they treated me that day.",1,0,1,1,0,0
"Loving them makes even the hardest days feel bearable because of how they comfort me., but a quiet sorrow has settled over me since the news and i can't seem to shake it off. and i feel furious thinking about the way i was spoken to; it was humiliating and cruel. 😤❤️😢",1,0,0,1,1,0
"I'm genuinely frightened about the idea of walking home alone late at night after what happened., but i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. 😨😢",0,1,0,0,1,0
"I was completely taken aback by the unexpected message and it left me speechless., but hearing their good news made my whole week brighter and i felt genuinely happy.",0,0,1,0,0,1
I find myself avoiding places because I'm scared something bad will happen again. and a surprising twist in the evening turned everything upside down and i was caught off guard.,0,1,0,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. Also, i feel an uneasy panic whenever i think about facing that situation again.",0,1,0,0,0,1
"I find myself avoiding places because I'm scared something bad will happen again. Also, i was completely taken aback by the unexpected message and it left me speechless. 😨😳",0,1,0,0,0,1
I find myself avoiding places because I'm scared something bad will happen again. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. and i feel furious thinking about the way i was spoken to; it was humiliating and cruel.,1,1,0,0,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks., but i'm genuinely frightened about the idea of walking home alone late at night after what happened., but there was a lightness in my chest all day, like the world finally felt right.",0,1,1,0,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard., but i feel an uneasy panic whenever i think about facing that situation again. Also, hearing their good news made my whole week brighter and i felt genuinely happy.",0,1,1,0,0,1
"I'm genuinely frightened about the idea of walking home alone late at night after what happened. and i couldn't believe my eyes when i saw it; the surprise stopped me in my tracks. however, it hurts me deeply when someone i trusted betrays me without a second thought. 😤😨😳",1,1,0,0,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard. and i feel an uneasy panic whenever i think about facing that situation again., but the small moments of warmth and laughter today filled me with a quiet joy.",0,1,1,0,0,1
A surprising twist in the evening turned everything upside down and I was caught off guard. while i feel an uneasy panic whenever i think about facing that situation again. while hearing their good news made my whole week brighter and i felt genuinely happy.,0,1,1,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless. while the thought of losing my job terrifies me more than i can explain. however, there was a lightness in my chest all day, like the world finally felt right. 😨😊😳",0,1,1,0,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. while a quiet sorrow has settled over me since the news and i can't seem to shake it off., but hearing their good news made my whole week brighter and i felt genuinely happy. 😊❤️😢",0,0,1,1,1,0
I feel an uneasy panic whenever I think about facing that situation again. and a quiet sorrow has settled over me since the news and i can't seem to shake it off. while i can't stand how they dismissed my feelings after everything i've done for them.,1,1,0,0,1,0
My blood boils whenever I remember how they treated me that day. 😤,1,0,0,0,0,0
"An unexpected confession left me stunned and I had to pause to process it. however, the uncertainty about the future keeps me awake and makes my heart race with fear. however, i was overwhelmed with happiness when my friends surprised me with that celebration. 😨😊😳",0,1,1,0,0,1
"I'm genuinely frightened about the idea of walking home alone late at night after what happened. while even in the crowd i felt empty, like a sadness that sat beside me all day. and an unexpected confession left me stunned and i had to pause to process it., but it hurts me deeply when someone i trusted betrays me without a second thought. 😤😨😢😳",1,1,0,0,1,1
"There is a warmth inside me every time I think about the kindness they show., but i can't stand how they dismissed my feelings after everything i've done for them. 😤❤️",1,0,0,1,0,0
"A surprising twist in the evening turned everything upside down and I was caught off guard. Also, i find myself avoiding places because i'm scared something bad will happen again.",0,1,0,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and the uncertainty about the future keeps me awake and makes my heart race with fear. however, there was a lightness in my chest all day, like the world finally felt right.",0,1,1,0,0,1
"My blood boils whenever I remember how they treated me that day., but i felt a deep ache in my chest remembering what we've lost and it wouldn't fade.",1,0,0,0,1,0
I realized how deeply I care for them when they gently held my hand and didn't let go. while i am seething with anger at the injustice i had to witness today.,1,0,0,1,0,0
"A surprising twist in the evening turned everything upside down and I was caught off guard. and hearing their good news made my whole week brighter and i felt genuinely happy. Also, i realized how deeply i care for them when they gently held my hand and didn't let go.",0,0,1,1,0,1
"I was completely taken aback by the unexpected message and it left me speechless. Also, the small moments of warmth and laughter today filled me with a quiet joy.",0,0,1,0,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard. however, there was a lightness in my chest all day, like the world finally felt right.",0,0,1,0,0,1
"Loving them makes even the hardest days feel bearable because of how they comfort me. however, the day felt heavy and every small thing reminded me of how lonely i've been feeling. and i feel furious thinking about the way i was spoken to; it was humiliating and cruel. Also, i feel an uneasy panic whenever i think about facing that situation again. 😤😨❤️😢",1,1,0,1,1,0
"I can't stand how they dismissed my feelings after everything I've done for them., but a quiet sorrow has settled over me since the news and i can't seem to shake it off. however, the uncertainty about the future keeps me awake and makes my heart race with fear. 😤😨😢",1,1,0,0,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. however, it hurts me deeply when someone i trusted betrays me without a second thought.",1,0,0,1,1,0
"My heart fills with affection whenever I remember our quiet conversations late at night. however, a quiet sorrow has settled over me since the news and i can't seem to shake it off. Also, the uncertainty about the future keeps me awake and makes my heart race with fear. 😨❤️😢",0,1,0,1,1,0
"An unexpected confession left me stunned and I had to pause to process it., but i find myself avoiding places because i'm scared something bad will happen again. while hearing their good news made my whole week brighter and i felt genuinely happy. 😨😊😳",0,1,1,0,0,1
There is a warmth inside me every time I think about the kindness they show. while i am seething with anger at the injustice i had to witness today.,1,0,0,1,0,0
"There is a warmth inside me every time I think about the kindness they show. while i find myself replaying that moment and it brings tears i can't hold back., but hearing their good news made my whole week brighter and i felt genuinely happy. 😊❤️😢",0,0,1,1,1,0
"I was completely taken aback by the unexpected message and it left me speechless., but i find myself avoiding places because i'm scared something bad will happen again.",0,1,0,0,0,1
"I feel an uneasy panic whenever I think about facing that situation again. Also, the sudden turn of events surprised me in a way i didn't expect and shook my plans.",0,1,0,0,0,1
I am seething with anger at the injustice I had to witness today. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. 😤😢,1,0,0,0,1,0
A surprising twist in the evening turned everything upside down and I was caught off guard. and the uncertainty about the future keeps me awake and makes my heart race with fear. 😨😳,0,1,0,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless. Also, a quiet sorrow has settled over me since the news and i can't seem to shake it off.",0,0,0,0,1,1
It hurts me deeply when someone I trusted betrays me without a second thought. and there is a warmth inside me every time i think about the kindness they show. 😤❤️,1,0,0,1,0,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. however, there was a lightness in my chest all day, like the world finally felt right.",0,0,1,1,0,0
An unexpected confession left me stunned and I had to pause to process it. while i feel an uneasy panic whenever i think about facing that situation again.,0,1,0,0,0,1
My heart fills with affection whenever I remember our quiet conversations late at night. and a quiet sorrow has settled over me since the news and i can't seem to shake it off. while i was overwhelmed with happiness when my friends surprised me with that celebration.,0,0,1,1,1,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. however, i feel an uneasy panic whenever i think about facing that situation again. while i can't stop smiling thinking about the wonderful time we had together last night. Also, loving them makes even the hardest days feel bearable because of how they comfort me.",0,1,1,1,0,1
I realized how deeply I care for them when they gently held my hand and didn't let go. and i find myself replaying that moment and it brings tears i can't hold back. ❤️😢,0,0,0,1,1,0
A surprising twist in the evening turned everything upside down and I was caught off guard. and the thought of losing my job terrifies me more than i can explain. while i can't stop smiling thinking about the wonderful time we had together last night.,0,1,1,0,0,1
"An unexpected confession left me stunned and I had to pause to process it. Also, there is a warmth inside me every time i think about the kindness they show.",0,0,0,1,0,1
My heart fills with affection whenever I remember our quiet conversations late at night. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. and i was overwhelmed with happiness when my friends surprised me with that celebration.,0,0,1,1,1,0
"The uncertainty about the future keeps me awake and makes my heart race with fear. while the day felt heavy and every small thing reminded me of how lonely i've been feeling., but a surprising twist in the evening turned everything upside down and i was caught off guard. 😨😢😳",0,1,0,0,1,1
"A surprising twist in the evening turned everything upside down and I was caught off guard., but the uncertainty about the future keeps me awake and makes my heart race with fear. however, hearing their good news made my whole week brighter and i felt genuinely happy. 😨😊😳",0,1,1,0,0,1
"I find myself avoiding places because I'm scared something bad will happen again., but the day felt heavy and every small thing reminded me of how lonely i've been feeling., but i couldn't believe my eyes when i saw it; the surprise stopped me in my tracks.",0,1,0,0,1,1
"I feel furious thinking about the way I was spoken to; it was humiliating and cruel. and a quiet sorrow has settled over me since the news and i can't seem to shake it off. Also, the sudden turn of events surprised me in a way i didn't expect and shook my plans.",1,0,0,0,1,1
"An unexpected confession left me stunned and I had to pause to process it. however, the uncertainty about the future keeps me awake and makes my heart race with fear. Also, i feel completely connected and tender toward them in a way that surprises me.",0,1,0,1,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard., but the small moments of warmth and laughter today filled me with a quiet joy. 😊😳",0,0,1,0,0,1
"There is a warmth inside me every time I think about the kindness they show. while even in the crowd i felt empty, like a sadness that sat beside me all day.",0,0,0,1,1,0
"A surprising twist in the evening turned everything upside down and I was caught off guard. and i'm genuinely frightened about the idea of walking home alone late at night after what happened. while i can't stop smiling thinking about the wonderful time we had together last night. Also, even in the crowd i felt empty, like a sadness that sat beside me all day.",0,1,1,0,1,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and the thought of losing my job terrifies me more than i can explain. Also, there was a lightness in my chest all day, like the world finally felt right. 😨😊😳",0,1,1,0,0,1
The sudden turn of events surprised me in a way I didn't expect and shook my plans. while i find myself avoiding places because i'm scared something bad will happen again. and the small moments of warmth and laughter today filled me with a quiet joy. 😨😊😳,0,1,1,0,0,1
I am seething with anger at the injustice I had to witness today. while i find myself avoiding places because i'm scared something bad will happen again. 😤😨,1,1,0,0,0,0
"Loving them makes even the hardest days feel bearable because of how they comfort me., but even in the crowd i felt empty, like a sadness that sat beside me all day., but there was a lightness in my chest all day, like the world finally felt right. and my blood boils whenever i remember how they treated me that day. 😤😊❤️😢",1,0,1,1,1,0
"I feel completely connected and tender toward them in a way that surprises me. while i find myself replaying that moment and it brings tears i can't hold back. however, i can't stop smiling thinking about the wonderful time we had together last night. 😊❤️😢",0,0,1,1,1,0
I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and i find myself avoiding places because i'm scared something bad will happen again.,0,1,0,0,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard. however, i can't stop smiling thinking about the wonderful time we had together last night. Also, i feel completely connected and tender toward them in a way that surprises me.",0,0,1,1,0,1
"An unexpected confession left me stunned and I had to pause to process it. however, i feel an uneasy panic whenever i think about facing that situation again.",0,1,0,0,0,1
A surprising twist in the evening turned everything upside down and I was caught off guard. and i'm genuinely frightened about the idea of walking home alone late at night after what happened. and hearing their good news made my whole week brighter and i felt genuinely happy. 😨😊😳,0,1,1,0,0,1
"An unexpected confession left me stunned and I had to pause to process it. however, i feel an uneasy panic whenever i think about facing that situation again. while hearing their good news made my whole week brighter and i felt genuinely happy.",0,1,1,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless., but the thought of losing my job terrifies me more than i can explain. Also, it hurts me deeply when someone i trusted betrays me without a second thought. 😤😨😳",1,1,0,0,0,1
"I feel an uneasy panic whenever I think about facing that situation again. however, i felt a deep ache in my chest remembering what we've lost and it wouldn't fade., but i can't stand how they dismissed my feelings after everything i've done for them. 😤😨😢",1,1,0,0,1,0
"An unexpected confession left me stunned and I had to pause to process it. while i find myself avoiding places because i'm scared something bad will happen again., but i can't stop smiling thinking about the wonderful time we had together last night. 😨😊😳",0,1,1,0,0,1
It hurts me deeply when someone I trusted betrays me without a second thought. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. while i feel an uneasy panic whenever i think about facing that situation again. 😤😨😢,1,1,0,0,1,0
"There is a warmth inside me every time I think about the kindness they show. while my blood boils whenever i remember how they treated me that day. Also, i find myself replaying that moment and it brings tears i can't hold back.",1,0,0,1,1,0
"An unexpected confession left me stunned and I had to pause to process it. while the small moments of warmth and laughter today filled me with a quiet joy. Also, i can't stand how they dismissed my feelings after everything i've done for them. 😤😊😳",1,0,1,0,0,1
"The thought of losing my job terrifies me more than I can explain., but the day felt heavy and every small thing reminded me of how lonely i've been feeling., but the sudden turn of events surprised me in a way i didn't expect and shook my plans.",0,1,0,0,1,1
